mPMT ID,x,y
0,8,-4
1,8,-3
2,7,-3
3,7,-4
4,7,-5
5,8,-5
6,9,-5
7,9,-4
8,9,-3
9,8,-2
10,7,-2
11,6,-3
12,6,-4
13,6,-5
14,7,-6
15,8,-6
16,9,-6
17,10,-5
18,10,-4
19,10,-3
20,9,-2
21,8,-1
22,7,-1
23,6,-1
24,5,-1
25,4,-1
26,3,-1
27,2,-1
28,1,-1
29,0,-1
30,15,-1
31,14,-1
32,13,-1
33,12,-1
34,11,-1
35,10,-1
36,9,-1
37,8,0
38,7,0
39,6,0
40,5,0
41,4,0
42,3,0
43,2,0
44,1,0
45,0,0
46,15,0
47,14,0
48,13,0
49,12,0
50,11,0
51,10,0
52,9,0
53,8,1
54,7,1
55,6,1
56,5,1
57,4,1
58,3,1
59,2,1
60,1,1
61,0,1
62,15,1
63,14,1
64,13,1
65,12,1
66,11,1
67,10,1
68,9,1
69,8,2
70,7,2
71,6,2
72,5,2
73,4,2
74,3,2
75,2,2
76,1,2
77,0,2
78,15,2
79,14,2
80,13,2
81,12,2
82,11,2
83,10,2
84,9,2
85,8,5
86,8,4
87,7,4
88,7,5
89,7,6
90,8,6
91,9,6
92,9,5
93,9,4
94,8,3
95,7,3
96,6,4
97,6,5
98,6,6
99,7,7
100,8,7
101,9,7
102,10,6
103,10,5
104,10,4
105,9,3
