mPMT,X,Y,Z
0.0,-5.480060849549773e-14,-858.675,5.480060849549773e-14
1.0,-5.480060849549773e-14,-858.6750000000001,580.0
2.0,580.0,-858.675,580.0
3.0,580.0,-858.6749999999997,5.480060849549773e-14
4.0,580.0,-858.6749999999996,-580.0
5.0,-5.480060849549773e-14,-858.6749999999997,-580.0
6.0,-580.0,-858.675,-580.0
7.0,-580.0,-858.6750000000001,5.480060849549773e-14
8.0,-580.0,-858.6750000000002,580.0
9.0,-5.480060849549773e-14,-858.6750000000002,1160.0
10.0,580.0,-858.675,1160.0
11.0,1160.0,-858.6749999999997,580.0
12.0,1160.0,-873.0219999999997,5.1614934548638303e-14
13.0,1160.0,-858.6749999999995,-580.0
14.0,580.0,-873.0219999999995,-1160.0
15.0,-5.480060849549773e-14,-858.6749999999996,-1160.0
16.0,-580.0,-873.0219999999998,-1160.0
17.0,-1160.0,-858.675,-580.0
18.0,-1160.0,-873.0220000000002,5.1614934548638303e-14
19.0,-1160.0,-858.6750000000003,580.0
20.0,-580.0,-858.6750000000003,1160.0
21.0,1.5901015385947482e-13,-580.0000000000003,1464.283
22.0,560.3568443938509,-580.0000000000002,1352.8210935042243
23.0,1035.4044388761818,-580.0,1035.404438876181
24.0,1352.8210935042248,-579.9999999999998,560.3568443938507
25.0,1464.2830000000004,-579.9999999999997,1.689499651291726e-13
26.0,1352.8210935042248,-579.9999999999995,-560.3568443938509
27.0,1035.404438876182,-579.9999999999995,-1035.4044388761815
28.0,560.356844393851,-579.9999999999995,-1352.8210935042248
29.0,2.778845367531499e-13,-579.9999999999997,-1464.2830000000004
30.0,-560.3568443938505,-579.9999999999998,-1352.8210935042246
31.0,-1035.404438876181,-580.0,-1035.4044388761815
32.0,-1352.821093504224,-580.0000000000002,-560.3568443938519
33.0,-1464.283,-580.0000000000003,-4.265217068422089e-13
34.0,-1352.8210935042243,-580.0000000000005,560.3568443938509
35.0,-1035.4044388761813,-580.0000000000005,1035.404438876181
36.0,-560.3568443938517,-580.0000000000006,1352.8210935042243
37.0,3.0224283002956665e-14,-2.7033553173794193e-13,1464.2830000000001
38.0,560.3568443938508,-1.4171203080123846e-13,1352.8210935042246
39.0,1035.4044388761815,3.767541834065473e-14,1035.4044388761813
40.0,1352.8210935042246,1.965126392967362e-13,560.3568443938508
41.0,1464.2830000000001,3.251361402334396e-13,2.9773583598569076e-13
42.0,1352.8210935042246,4.2481083937186425e-13,-560.3568443938508
43.0,1035.4044388761818,4.1871148276414764e-13,-1035.4044388761813
44.0,560.3568443938509,3.7001023087636653e-13,-1352.8210935042246
45.0,1.4909866589663172e-13,2.70335531737942e-13,-1464.2830000000001
46.0,-560.3568443938506,1.3486195473930126e-13,-1352.8210935042243
47.0,-1035.4044388761813,-4.11004563716233e-14,-1035.4044388761813
48.0,-1352.8210935042243,-1.7596241111092426e-13,-560.3568443938518
49.0,-1464.2830000000001,-3.251361402334396e-13,-2.9773583598569076e-13
50.0,-1352.8210935042246,-4.3851099149573874e-13,560.356844393851
51.0,-1035.4044388761815,-4.3241163488802203e-13,1035.4044388761813
52.0,-560.3568443938518,-3.8028534496927253e-13,1352.8210935042246
53.0,-9.856158785356148e-14,579.9999999999997,1464.2830000000004
54.0,560.3568443938507,579.9999999999998,1352.8210935042248
55.0,1035.4044388761813,580.0,1035.4044388761815
